,Coefficient
0,1.484711195518442
1,-1.5736360627033203
2,-1.4847111955173862
3,0.38902903870435224
4,2.9889424460090397
5,-0.03777693164703122
6,-0.4910287152785592
7,0.0450713400813428
8,0.15438084721045758
9,0.023016934407805466
10,0.165383501542393
11,-0.32370336543424655
12,-0.7761828990427176
13,-0.3205473765341461
14,-0.4103488984272581
15,0.0
16,-0.05281387270231907
17,0.08212133852462558
18,0.011829917956333869
19,0.16919485164342304
20,0.020164605272034217
21,0.32324037348006973
22,0.07734962444661242
23,-0.36024913762768473
24,-0.04406349404203362
25,0.043052446707329425
26,-0.009096582387218749
27,0.3950539357786185
28,-0.24330335505644557
29,-0.16265342583049366
30,-0.024215124282694723
31,-0.06722857531537742
32,0.12385262017235495
33,0.02433353140397505
34,0.005001572300470112
35,0.048110496008033875
36,-0.02410656409739517
37,0.025345322761429947
38,-0.014531560127748751
39,-0.012096160174795544
40,0.04750483161556738
41,0.04654326459534265
42,-0.3576839676553162
43,0.1938359143429461
44,-0.003118792775855501
